Comment,Designator,Footprint,LCSC Part #
0R,SJ1,R0402,C17168
1.5K,R5,R0402,C25867
1.25A,F1,F0603,C163109
1K,R8,R0402,C11702
1UF,C9 C10,C0603,C15849
1UF,C6,C0402,C52923
1UH,L1,PSPMAA0402,C497775
2.2R,R3 R9,R0402,C131536
2K,R14,R0402,C4109
5.1K,R1 R2,R0402,C25905
10K,R13,R0402,C25744
10UF,C1 C2,C0402,C15525
10UF,C11,C0603,C19702
22UF,C7 C8,C0805,C45783
22UF,C3 C4 C5,C0603,C59461
22UH,L2,PSPMAA0402,C408340
24K,R11,R0402,C25769
47K,R17 R18 R19,R0402,C25792
51K,R7,R0402,C25794
75K,R12,R0402,C25798
100R,R15 R16,R0402,C25076
150K,R10,R0402,C25755
220PF,C12 C13,C0805,C107145
330R,R6,R0402,C25104
A2SHB,Q2,SOT23-3,C2926140
AO3401A,Q1,SOT23-3,C15127
CHRG,D2 D2E,L0402,C130719
DONE,D1 D1E,L0402,C130722
DSK34,D3 D4,SOD-123FL,C908230
FERRITE,FB1 FB2,MICROBUILDER__0805MP,C1017
IP2312U_VSET,U1,IP2312,C605432
MT3608,U2,SOT-23-6,C84817
PAM8302AASCR,U4,PAM8302AASCR,C113367
POWER,D3E,L0402,C273604
SH1MM,J2,JST-2-1MM-SMD_RIGHT,C145954
USBC,J1,USB-C_6P,C668623
